outcome,outcome_type,batch,model_method,model_file,outcome_variant,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,PhotoPeriod,duration_hours,estimate,conf.low,conf.high
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,20,NA,NA,-11.918230759574316,-75.97078813783587,52.13432661868724
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,21,NA,NA,-12.95705842691452,-79.61812179566516,53.704004941836125
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,22,NA,NA,-13.995886094254706,-83.26634246356974,55.274570275060334
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,23,NA,NA,-15.03471376159491,-86.91535464791038,56.845927124720554
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,24,NA,NA,-16.073541428935098,-90.56507340279023,58.41799054492003
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,25,NA,NA,-17.112369096275295,-94.2154291344898,59.9906909419392
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,26,NA,NA,-18.15119676361549,-97.86636105229536,61.563967525064385
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,27,NA,NA,-19.190024430955685,-101.5178088896738,63.137760027762425
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,28,NA,NA,-20.22885209829587,-105.16972805717654,64.7120238605848
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,29,NA,NA,-21.267679765636057,-108.82207541452328,66.28671588325115
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,30,NA,NA,-22.306507432976243,-112.4748102723898,67.8617954064373
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,31,NA,NA,-23.345335100316444,-116.12791111308752,69.43724091245463
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,32,NA,NA,-24.38416276765664,-119.78133400908776,71.01300847377448
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,33,NA,NA,-25.422990434996827,-123.43506307465488,72.58908220466125
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,34,NA,NA,-26.461818102337013,-127.08907380199152,74.16543759731749
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,35,NA,NA,-27.5006457696772,-130.7433373316202,75.74204579226581
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,36,NA,NA,-28.5394734370174,-134.39784123819035,77.31889436415554
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,37,NA,NA,-29.57830110435761,-138.0525669273671,78.8959647186519
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,38,NA,NA,-30.617128771697782,-141.70749874316004,80.47324119976446
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,39,NA,NA,-31.655956439037997,-145.3626224031084,82.0507095250324
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,40,NA,NA,-32.69478410637821,-149.0179241182418,83.6283559054854
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,41,NA,NA,-33.733611773718366,-152.67339404243148,85.20617049499477
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,42,NA,NA,-34.77243944105857,-156.32902294602846,86.78414406391133
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,43,NA,NA,-35.81126710839877,-159.98479241335326,88.36225819655573
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,44,NA,NA,-36.85009477573893,-163.64069573741196,89.94050618593411
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,45,NA,NA,-37.888922443079146,-167.29673351817337,91.51888863201508
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,46,NA,NA,-38.92775011041933,-170.95289781912467,93.097397598286
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,47,NA,NA,-39.966577777759525,-174.60917017053362,94.67601461501458
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,48,NA,NA,-41.00540544509974,-178.26555127891345,96.25474038871396
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,49,NA,NA,-42.04423311243989,-181.92202559664503,97.83355937176528
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,50,NA,NA,-43.08306077978011,-185.57860926847707,99.41248770891684
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,51,NA,NA,-44.12188844712029,-189.2352727401114,100.99149584587084
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,52,NA,NA,-45.16071611446049,-192.89203217249172,102.57059994357076
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,53,NA,NA,-46.19954378180071,-196.54886877018217,104.14978120658073
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,54,NA,NA,-47.23837144914086,-200.20578153883488,105.72903864055314
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,55,NA,NA,-48.27719911648104,-203.86276161183577,107.3083633788737
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,56,NA,NA,-49.31602678382127,-207.51982530611764,108.88777173847508
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,57,NA,NA,-50.35485445116144,-211.1769416762226,110.46723277389977
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,58,NA,NA,-51.39368211850164,-214.83413357938463,112.04676934238137
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,59,NA,NA,-52.43250978584184,-218.49137820680895,113.62635863512531
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,60,NA,NA,-53.471337453182045,-222.1486825270154,115.20600762065132
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,61,NA,NA,-54.51016512052222,-225.80603932353017,116.78570908248572
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,62,NA,NA,-55.548992787862446,-229.46345097312505,118.36546539740014
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,63,NA,NA,-56.58782045520262,-233.12091110594355,119.94527019553831
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,64,NA,NA,-57.62664812254279,-236.77841887295716,121.52512262787155
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,65,NA,NA,-58.66547578988298,-240.43597122807068,123.10501964830472
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,66,NA,NA,-59.70430345722318,-244.09356838698727,124.68496147254092
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,67,NA,NA,-60.743131124563355,-247.75120224464297,126.26493999551629
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,68,NA,NA,-61.781958791903584,-251.4088829542655,127.84496537045834
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,69,NA,NA,-62.82078645924372,-255.0665994041457,129.42502648565826
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,70,NA,NA,-63.859614126583935,-258.72435441064806,131.00512615748016
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,71,NA,NA,-64.89844179392419,-262.3821513405053,132.58526775265688
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,72,NA,NA,-65.93726946126431,-266.0399677476846,134.16542882515597
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,73,NA,NA,-66.97609712860452,-269.69783217152656,135.74563791431754
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,74,NA,NA,-68.01492479594472,-273.3557175955221,137.32586800363265
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,75,NA,NA,-69.05375246328492,-277.01363655409597,138.90613162752612
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,76,NA,NA,-70.09258013062507,-280.6715846042357,140.4864243429856
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,77,NA,NA,-71.13140779796527,-284.32956427092955,142.06674867499902
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,78,NA,NA,-72.17023546530547,-287.9875654876342,143.64709455702325
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,79,NA,NA,-73.2090631326457,-291.6455959548205,145.22746968952913
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,80,NA,NA,-74.24789079998584,-295.30365077717727,146.80786917720562
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,81,NA,NA,-75.28671846732605,-298.9617296652253,148.38829273057314
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,82,NA,NA,-76.32554613466624,-302.61983320195725,149.96874093262477
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,83,NA,NA,-77.36437380200643,-306.2779583421801,151.54921073816723
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,84,NA,NA,-78.40320146934663,-309.93610524937185,153.12970231067857
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,age_main,NA,NA,NA,NA,NA,85,NA,NA,-79.44202913668686,-313.59427527264654,154.71021699927286
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,18,NA,NA,10.416570075128838,-45.90217503304401,66.73531518330168
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,19,NA,NA,9.716726130393496,-49.11046029454689,68.54391255533388
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,20,NA,NA,9.016882185658156,-52.319845622447374,70.35360999376368
