batch,age_at_sleep,is_weekend_factor,dst_observes,series,estimate,facet_key
base,42,NA,NA,Duration Model Adjusted for Midpoint,-32.35534195127716,All | AllDays | AllDST
base,43,NA,NA,Duration Model Adjusted for Midpoint,-33.33782650671626,All | AllDays | AllDST
base,44,NA,NA,Duration Model Adjusted for Midpoint,-34.3203110621553,All | AllDays | AllDST
base,45,NA,NA,Duration Model Adjusted for Midpoint,-35.3027956175944,All | AllDays | AllDST
base,46,NA,NA,Duration Model Adjusted for Midpoint,-36.285280173033435,All | AllDays | AllDST
base,47,NA,NA,Duration Model Adjusted for Midpoint,-37.26776472847256,All | AllDays | AllDST
base,48,NA,NA,Duration Model Adjusted for Midpoint,-38.250249283911664,All | AllDays | AllDST
base,49,NA,NA,Duration Model Adjusted for Midpoint,-39.23273383935069,All | AllDays | AllDST
base,50,NA,NA,Duration Model Adjusted for Midpoint,-40.21521839478979,All | AllDays | AllDST
base,51,NA,NA,Duration Model Adjusted for Midpoint,-41.197702950228866,All | AllDays | AllDST
base,52,NA,NA,Duration Model Adjusted for Midpoint,-42.18018750566796,All | AllDays | AllDST
base,53,NA,NA,Duration Model Adjusted for Midpoint,-43.16267206110705,All | AllDays | AllDST
base,54,NA,NA,Duration Model Adjusted for Midpoint,-44.14515661654612,All | AllDays | AllDST
base,55,NA,NA,Duration Model Adjusted for Midpoint,-45.1276411719852,All | AllDays | AllDST
base,56,NA,NA,Duration Model Adjusted for Midpoint,-46.11012572742428,All | AllDays | AllDST
base,57,NA,NA,Duration Model Adjusted for Midpoint,-47.09261028286335,All | AllDays | AllDST
base,58,NA,NA,Duration Model Adjusted for Midpoint,-48.07509483830245,All | AllDays | AllDST
base,59,NA,NA,Duration Model Adjusted for Midpoint,-49.05757939374153,All | AllDays | AllDST
base,60,NA,NA,Duration Model Adjusted for Midpoint,-50.04006394918061,All | AllDays | AllDST
base,61,NA,NA,Duration Model Adjusted for Midpoint,-51.02254850461967,All | AllDays | AllDST
base,62,NA,NA,Duration Model Adjusted for Midpoint,-52.00503306005877,All | AllDays | AllDST
base,63,NA,NA,Duration Model Adjusted for Midpoint,-52.98751761549787,All | AllDays | AllDST
base,64,NA,NA,Duration Model Adjusted for Midpoint,-53.970002170936894,All | AllDays | AllDST
base,65,NA,NA,Duration Model Adjusted for Midpoint,-54.952486726375994,All | AllDays | AllDST
base,66,NA,NA,Duration Model Adjusted for Midpoint,-55.934971281815095,All | AllDays | AllDST
base,67,NA,NA,Duration Model Adjusted for Midpoint,-56.917455837254145,All | AllDays | AllDST
base,68,NA,NA,Duration Model Adjusted for Midpoint,-57.899940392693246,All | AllDays | AllDST
base,69,NA,NA,Duration Model Adjusted for Midpoint,-58.88242494813232,All | AllDays | AllDST
base,70,NA,NA,Duration Model Adjusted for Midpoint,-59.864909503571425,All | AllDays | AllDST
base,71,NA,NA,Duration Model Adjusted for Midpoint,-60.847394059010526,All | AllDays | AllDST
base,72,NA,NA,Duration Model Adjusted for Midpoint,-61.829878614449555,All | AllDays | AllDST
base,73,NA,NA,Duration Model Adjusted for Midpoint,-62.81236316988865,All | AllDays | AllDST
base,74,NA,NA,Duration Model Adjusted for Midpoint,-63.79484772532773,All | AllDays | AllDST
base,75,NA,NA,Duration Model Adjusted for Midpoint,-64.77733228076679,All | AllDays | AllDST
base,76,NA,NA,Duration Model Adjusted for Midpoint,-65.75981683620587,All | AllDays | AllDST
base,77,NA,NA,Duration Model Adjusted for Midpoint,-66.74230139164494,All | AllDays | AllDST
base,78,NA,NA,Duration Model Adjusted for Midpoint,-67.72478594708404,All | AllDays | AllDST
base,79,NA,NA,Duration Model Adjusted for Midpoint,-68.70727050252312,All | AllDays | AllDST
base,80,NA,NA,Duration Model Adjusted for Midpoint,-69.6897550579622,All | AllDays | AllDST
base,81,NA,NA,Duration Model Adjusted for Midpoint,-70.67223961340132,All | AllDays | AllDST
base,82,NA,NA,Duration Model Adjusted for Midpoint,-71.6547241688403,All | AllDays | AllDST
base,83,NA,NA,Duration Model Adjusted for Midpoint,-72.63720872427943,All | AllDays | AllDST
base,84,NA,NA,Duration Model Adjusted for Midpoint,-73.61969327971853,All | AllDays | AllDST
base,85,NA,NA,Duration Model Adjusted for Midpoint,-74.60217783515763,All | AllDays | AllDST
dst,18,NA,NA,Derived from Onset+Offset,16.173758100587534,All | AllDays | AllDST
dst,19,NA,NA,Derived from Onset+Offset,19.06327761003868,All | AllDays | AllDST
dst,20,NA,NA,Derived from Onset+Offset,21.95279711948983,All | AllDays | AllDST
dst,21,NA,NA,Derived from Onset+Offset,0.842316628940921,All | AllDays | AllDST
dst,22,NA,NA,Derived from Onset+Offset,3.7318361383920977,All | AllDays | AllDST
dst,23,NA,NA,Derived from Onset+Offset,6.621355647843217,All | AllDays | AllDST
dst,24,NA,NA,Derived from Onset+Offset,9.51087515729438,All | AllDays | AllDST
dst,25,NA,NA,Derived from Onset+Offset,12.400394666745528,All | AllDays | AllDST
dst,26,NA,NA,Derived from Onset+Offset,15.289914176196646,All | AllDays | AllDST
dst,27,NA,NA,Derived from Onset+Offset,18.17943368564778,All | AllDays | AllDST
dst,28,NA,NA,Derived from Onset+Offset,21.068953195098945,All | AllDays | AllDST
dst,29,NA,NA,Derived from Onset+Offset,23.958472704550104,All | AllDays | AllDST
dst,30,NA,NA,Derived from Onset+Offset,2.8479922140012377,All | AllDays | AllDST
dst,31,NA,NA,Derived from Onset+Offset,5.737511723452371,All | AllDays | AllDST
dst,32,NA,NA,Derived from Onset+Offset,8.62703123290349,All | AllDays | AllDST
dst,33,NA,NA,Derived from Onset+Offset,11.516550742354625,All | AllDays | AllDST
dst,34,NA,NA,Derived from Onset+Offset,14.4060702518058,All | AllDays | AllDST
dst,35,NA,NA,Derived from Onset+Offset,17.295589761256934,All | AllDays | AllDST
dst,36,NA,NA,Derived from Onset+Offset,20.185109270708068,All | AllDays | AllDST
dst,37,NA,NA,Derived from Onset+Offset,23.074628780159173,All | AllDays | AllDST
dst,38,NA,NA,Derived from Onset+Offset,1.964148289610378,All | AllDays | AllDST
dst,39,NA,NA,Derived from Onset+Offset,4.853667799061469,All | AllDays | AllDST
dst,40,NA,NA,Derived from Onset+Offset,7.743187308512631,All | AllDays | AllDST
dst,41,NA,NA,Derived from Onset+Offset,10.632706817963763,All | AllDays | AllDST
dst,42,NA,NA,Derived from Onset+Offset,13.522226327414929,All | AllDays | AllDST
dst,43,NA,NA,Derived from Onset+Offset,16.411745836866032,All | AllDays | AllDST
dst,44,NA,NA,Derived from Onset+Offset,19.301265346317223,All | AllDays | AllDST
dst,45,NA,NA,Derived from Onset+Offset,22.190784855768328,All | AllDays | AllDST
dst,46,NA,NA,Derived from Onset+Offset,1.080304365219547,All | AllDays | AllDST
dst,47,NA,NA,Derived from Onset+Offset,3.969823874670652,All | AllDays | AllDST
dst,48,NA,NA,Derived from Onset+Offset,6.8593433841217575,All | AllDays | AllDST
dst,49,NA,NA,Derived from Onset+Offset,9.748862893572948,All | AllDays | AllDST
dst,50,NA,NA,Derived from Onset+Offset,12.638382403024082,All | AllDays | AllDST
dst,51,NA,NA,Derived from Onset+Offset,15.527901912475189,All | AllDays | AllDST
dst,52,NA,NA,Derived from Onset+Offset,18.417421421926377,All | AllDays | AllDST
dst,53,NA,NA,Derived from Onset+Offset,21.306940931377422,All | AllDays | AllDST
dst,54,NA,NA,Derived from Onset+Offset,0.19646044082861636,All | AllDays | AllDST
dst,55,NA,NA,Derived from Onset+Offset,3.0859799502798353,All | AllDays | AllDST
dst,56,NA,NA,Derived from Onset+Offset,5.975499459730912,All | AllDays | AllDST
dst,57,NA,NA,Derived from Onset+Offset,8.865018969182017,All | AllDays | AllDST
dst,58,NA,NA,Derived from Onset+Offset,11.754538478633153,All | AllDays | AllDST
dst,59,NA,NA,Derived from Onset+Offset,14.644057988084342,All | AllDays | AllDST
dst,60,NA,NA,Derived from Onset+Offset,17.53357749753542,All | AllDays | AllDST
dst,61,NA,NA,Derived from Onset+Offset,20.42309700698661,All | AllDays | AllDST
dst,62,NA,NA,Derived from Onset+Offset,23.31261651643769,All | AllDays | AllDST
dst,63,NA,NA,Derived from Onset+Offset,2.2021360258889047,All | AllDays | AllDST
dst,64,NA,NA,Derived from Onset+Offset,5.091655535340067,All | AllDays | AllDST
dst,65,NA,NA,Derived from Onset+Offset,7.981175044791257,All | AllDays | AllDST
dst,66,NA,NA,Derived from Onset+Offset,10.870694554242334,All | AllDays | AllDST
dst,67,NA,NA,Derived from Onset+Offset,13.760214063693525,All | AllDays | AllDST
dst,68,NA,NA,Derived from Onset+Offset,16.64973357314466,All | AllDays | AllDST
dst,69,NA,NA,Derived from Onset+Offset,19.539253082595792,All | AllDays | AllDST
dst,70,NA,NA,Derived from Onset+Offset,22.428772592046897,All | AllDays | AllDST
dst,71,NA,NA,Derived from Onset+Offset,1.3182921014980025,All | AllDays | AllDST
dst,72,NA,NA,Derived from Onset+Offset,4.207811610949307,All | AllDays | AllDST
dst,73,NA,NA,Derived from Onset+Offset,7.097331120400327,All | AllDays | AllDST
dst,74,NA,NA,Derived from Onset+Offset,9.986850629851546,All | AllDays | AllDST
dst,75,NA,NA,Derived from Onset+Offset,12.87637013930265,All | AllDays | AllDST
dst,76,NA,NA,Derived from Onset+Offset,15.76588964875384,All | AllDays | AllDST
dst,77,NA,NA,Derived from Onset+Offset,18.655409158204975,All | AllDays | AllDST
dst,78,NA,NA,Derived from Onset+Offset,21.54492866765608,All | AllDays | AllDST
dst,79,NA,NA,Derived from Onset+Offset,0.4344481771071571,All | AllDays | AllDST
dst,80,NA,NA,Derived from Onset+Offset,3.3239676865584897,All | AllDays | AllDST
dst,81,NA,NA,Derived from Onset+Offset,6.213487196009453,All | AllDays | AllDST
dst,82,NA,NA,Derived from Onset+Offset,9.1030067054607,All | AllDays | AllDST
dst,83,NA,NA,Derived from Onset+Offset,11.992526214911775,All | AllDays | AllDST
dst,84,NA,NA,Derived from Onset+Offset,14.88204572436291,All | AllDays | AllDST
dst,85,NA,NA,Derived from Onset+Offset,17.771565233814044,All | AllDays | AllDST
dst,18,NA,NA,Direct Duration Model,-9.840575424893954,All | AllDays | AllDST
dst,19,NA,NA,Direct Duration Model,-10.87940309223414,All | AllDays | AllDST
dst,20,NA,NA,Direct Duration Model,-11.918230759574316,All | AllDays | AllDST
dst,21,NA,NA,Direct Duration Model,-12.95705842691452,All | AllDays | AllDST
dst,22,NA,NA,Direct Duration Model,-13.995886094254706,All | AllDays | AllDST
dst,23,NA,NA,Direct Duration Model,-15.03471376159491,All | AllDays | AllDST
dst,24,NA,NA,Direct Duration Model,-16.073541428935098,All | AllDays | AllDST
dst,25,NA,NA,Direct Duration Model,-17.112369096275295,All | AllDays | AllDST
dst,26,NA,NA,Direct Duration Model,-18.15119676361549,All | AllDays | AllDST
dst,27,NA,NA,Direct Duration Model,-19.190024430955685,All | AllDays | AllDST
dst,28,NA,NA,Direct Duration Model,-20.22885209829587,All | AllDays | AllDST
dst,29,NA,NA,Direct Duration Model,-21.267679765636057,All | AllDays | AllDST
dst,30,NA,NA,Direct Duration Model,-22.306507432976243,All | AllDays | AllDST
dst,31,NA,NA,Direct Duration Model,-23.345335100316444,All | AllDays | AllDST
dst,32,NA,NA,Direct Duration Model,-24.38416276765664,All | AllDays | AllDST
dst,33,NA,NA,Direct Duration Model,-25.422990434996827,All | AllDays | AllDST
dst,34,NA,NA,Direct Duration Model,-26.461818102337013,All | AllDays | AllDST
dst,35,NA,NA,Direct Duration Model,-27.5006457696772,All | AllDays | AllDST
dst,36,NA,NA,Direct Duration Model,-28.5394734370174,All | AllDays | AllDST
dst,37,NA,NA,Direct Duration Model,-29.57830110435761,All | AllDays | AllDST
dst,38,NA,NA,Direct Duration Model,-30.617128771697782,All | AllDays | AllDST
dst,39,NA,NA,Direct Duration Model,-31.655956439037997,All | AllDays | AllDST
