batch,analysis,age_at_sleep,is_weekend_factor,dst_observes,onset_estimate,offset_estimate,derived_duration_hours,derived_midpoint_linear,duration_direct_estimate,duration_direct_minus_derived,midpoint_direct_estimate,midpoint_direct_minus_derived
base,derived_duration_midpoint_age,30,Weekend,NA,0.12823549141935875,7.579332709945369,7.451097218526011,3.853784100682364,7.711432427998988,0.26033520947297717,4.123986420358242,0.27020231967587804
base,derived_duration_midpoint_age,31,Weekday,NA,-0.4737579301913932,6.549277923775578,7.023035853966971,3.0377599967920923,7.25020705610148,0.22717120213450936,3.2897269522074697,0.2519669554153765
base,derived_duration_midpoint_age,31,Weekend,NA,0.08726665984515058,7.549654233488857,7.462387573643706,3.818460446667004,7.715924520223274,0.25353694657956716,4.086359418484154,0.26789897181715006
base,derived_duration_midpoint_age,32,Weekday,NA,-0.5088987965922983,6.518759910518619,7.027658707110917,3.0049305569631604,7.248474588394333,0.220815881283416,3.254706523961902,0.24977596699874205
base,derived_duration_midpoint_age,32,Weekend,NA,0.04759978719609337,7.521622982146066,7.4740231949499725,3.78461138467108,7.7207126904971375,0.24668949554716504,4.050107224231972,0.2654958395608915
base,derived_duration_midpoint_age,33,Weekday,NA,-0.5426198109277965,6.490474754794637,7.0330945657224335,2.97392747193342,7.247495266503109,0.21440070078067563,3.221409579852341,0.24748210791892156
base,derived_duration_midpoint_age,33,Weekend,NA,0.00923487347218707,7.495238955916992,7.486004082444805,3.7522369146945898,7.725796938820579,0.2397928563757734,4.015229837601699,0.2629929229071095
base,derived_duration_midpoint_age,34,Weekday,NA,-0.5749209731978883,6.464422456603636,7.039343429801524,2.9447507417028738,7.247269090427808,0.2079256606262838,3.1898361198787875,0.24508537817591325
base,derived_duration_midpoint_age,34,Weekend,NA,-0.02782808132656844,7.4705021548016415,7.49833023612821,3.721337036737536,7.731177265193596,0.23284702906538612,3.981727258593332,0.2603902218557952
base,derived_duration_midpoint_age,35,Weekday,NA,-0.6058022834025732,6.440603015945612,7.046405299348185,2.9174003662715196,7.24779606016843,0.201390760820245,3.1599861440412407,0.24258577776972068
base,derived_duration_midpoint_age,35,Weekend,NA,-0.06358907720017296,7.44741257880001,7.511001656000182,3.6919117507999184,7.736853669616191,0.22585201361600848,3.949599487206873,0.25768773640695386
base,derived_duration_midpoint_age,36,Weekday,NA,-0.6352637415418516,6.419016432820567,7.054280174362418,2.8918763456393575,7.249076175724977,0.19479600136255917,3.131859652339701,0.23998330670034385
base,derived_duration_midpoint_age,36,Weekend,NA,-0.09804811414862669,7.425970227912098,7.5240183420607245,3.663961056881736,7.742826152088363,0.21880781002763872,3.91884652344232,0.25488546656058375
base,derived_duration_midpoint_age,37,Weekday,NA,-0.6633053476157232,6.399662707228501,7.062968054844224,2.868178679806389,7.251109437097447,0.18814138225322272,3.105456644774168,0.2372779649677792
base,derived_duration_midpoint_age,37,Weekend,NA,-0.13120519217192944,7.406175102137906,7.537380294309836,3.637484954982989,7.749094712610112,0.21171441830027593,3.8894683672996746,0.25198341231668664
base,derived_duration_midpoint_age,38,Weekday,NA,-0.6899271016241884,6.382541839169414,7.072468940793602,2.846307368772613,7.25389584428584,0.18142690349223756,3.0807771213446427,0.2344697525720303
base,derived_duration_midpoint_age,38,Weekend,NA,-0.1630603112700815,7.388027201477436,7.551087512747517,3.612483445103677,7.755659351181438,0.20457183843392104,3.861465018778937,0.24898157367525897
base,derived_duration_midpoint_age,39,Weekday,NA,-0.7151290035672466,6.367653828643305,7.082782832210551,2.826262412538029,7.2574353972901555,0.17465256507960447,3.0578210820511234,0.23155866951309537
base,derived_duration_midpoint_age,39,Weekend,NA,-0.1936134714430825,7.371526525930684,7.565139997373767,3.588956527243801,7.762520067802341,0.19738007042857397,3.834836477880105,0.2458799506363043
base,derived_duration_midpoint_age,40,Weekday,NA,-0.7389110534448984,6.354998675650175,7.093909729095073,2.808043811102638,7.261728096110396,0.1678183670153226,3.036588526893612,0.22854471579097435
base,derived_duration_midpoint_age,40,Weekend,NA,-0.2228646726909327,7.356673075497653,7.579537748188586,3.5669042014033603,7.769676862472822,0.1901391142842357,3.809582744603181,0.24267854319982085
base,derived_duration_midpoint_age,41,Weekday,NA,-0.7612732512571433,6.3445763801900235,7.105849631447167,2.79165156446644,7.26677394074656,0.16092430929939283,3.017079455872107,0.22542789140566732
base,derived_duration_midpoint_age,41,Weekend,NA,-0.2508139150136319,7.343466850178342,7.594280765191974,3.546326467582355,7.7771297351928785,0.1828489700009044,3.785703818948164,0.23937735136580865
base,derived_duration_midpoint_age,42,Weekday,NA,-0.7822155970039817,6.336386942262852,7.118602539266833,2.777085672629435,7.2725729311986465,0.1539703919318134,2.9992938689866095,0.22220819635717423
base,derived_duration_midpoint_age,42,Weekend,NA,-0.2774611984111804,7.331907849972752,7.6093690483839325,3.5272233257807857,7.784878685962513,0.17550963757858096,3.763199700915054,0.2359763751342676
base,derived_duration_midpoint_age,43,Weekday,NA,-0.8017380906854132,6.3304303618686575,7.132168452554071,2.764346135591622,7.279125067466658,0.14695661491258694,2.9832317662371186,0.21888563064549693
base,derived_duration_midpoint_age,43,Weekend,NA,-0.30280652288357784,7.32199607488088,7.624802597764458,3.509594775998651,7.792923714781725,0.16812111701726715,3.742070390503851,0.2324756145051996
base,derived_duration_midpoint_age,44,Weekday,NA,-0.8198407323014383,6.326706639007443,7.146547371308881,2.7534329533530024,7.286430349550591,0.13988297824170992,2.968893147623635,0.21546019427063356
base,derived_duration_midpoint_age,44,Weekend,NA,-0.3268498884308245,7.313731524902731,7.640581413333555,3.493440818235953,7.801264821650514,0.1606834083169586,3.722315887714556,0.2288750694786028
base,derived_duration_midpoint_age,45,Weekday,NA,-0.8365235218520566,6.325215773679206,7.161739295531262,2.744346125913575,7.294488777450449,0.13274948191918678,2.9562780131461586,0.21193188723258416
base,derived_duration_midpoint_age,45,Weekend,NA,-0.34959129505292025,7.3071142000383,7.65670549509122,3.47876145249269,7.80990200656888,0.15319651147765967,3.703936192547168,0.22517474005447724
base,derived_duration_midpoint_age,46,Weekday,NA,-0.8517864593372683,6.325957765883949,7.177744225221217,2.7370856532733403,7.30330035116623,0.1255561259450131,2.945386362804689,0.20830070953134872
base,derived_duration_midpoint_age,46,Weekend,NA,-0.37103074274986514,7.302144100287591,7.673174843037456,3.4655566787688628,7.818835269536823,0.14566042649936684,3.686931305001686,0.2213746262328229
base,derived_duration_midpoint_age,47,Weekday,NA,-0.8656295447570732,6.32893261562167,7.1945621603787435,2.7316515354322988,7.312865070697935,0.11830291031919148,2.936218196599226,0.20456666116692723
base,derived_duration_midpoint_age,47,Weekend,NA,-0.3911682315216591,7.298821225650601,7.68998945717226,3.4538264970644708,7.828064610554343,0.13807515338208365,3.6713012250781114,0.2174747280136415
base,derived_duration_midpoint_age,48,Weekday,NA,-0.8780527781114716,6.33414032289237,7.212193101003842,2.72804377239045,7.323182936045563,0.11098983504172112,2.9287735145297704,0.2007297421393215
base,derived_duration_midpoint_age,48,Weekend,NA,-0.4100037613683023,7.297145576127331,7.7071493374956335,3.4435709073795144,7.837590029621441,0.13044069212580744,3.657045952776444,0.21347504539692963
base,derived_duration_midpoint_age,49,Weekday,NA,-0.8890561594004631,6.341580887696049,7.230637047096511,2.7262623641477925,7.334253947209114,0.10361690011260284,2.923052316596322,0.1967899524485297
base,derived_duration_midpoint_age,49,Weekend,NA,-0.4275373322897944,7.297117151717781,7.724654484007576,3.434789909713994,7.8474115267381155,0.12275704273053913,3.644165488096684,0.20937557838269072
base,derived_duration_midpoint_age,50,Weekday,NA,-0.8986396886240482,6.351254310032706,7.249893998656754,2.7263073107043287,7.346078104188589,0.09618410553183487,2.91905460279888,0.19274729209455188
base,derived_duration_midpoint_age,50,Weekend,NA,-0.4437689442861358,7.298735952421952,7.742504896708088,3.427483504067908,7.857529101904365,0.11502420519627776,3.6326598310388314,0.20517632697092303
base,derived_duration_midpoint_age,51,Weekday,NA,-0.9068033657822264,6.363160589902342,7.269963955684568,2.7281786120600575,7.358655406983988,0.08869145129941902,2.9167803731374455,0.188601761077388
base,derived_duration_midpoint_age,51,Weekend,NA,-0.4586985973573263,7.302001978239842,7.760700575597168,3.4216516904412577,7.867942755120194,0.10724217952302606,3.622528981602885,0.2008772911616283
