outcome,outcome_type,batch,model_method,model_file,estimate_Weekday,estimate_Weekend,weekend_minus_weekday,contrast_scope,employment_status,term
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,-0.0316799053095167,0.22868849959902815,0.26036840490854485,by_employment,Retired,Retired
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,8.138686711803862,8.482198399497145,0.3435116876932831,by_employment,Self Employed,Self Employed
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,9.075438858667892,9.540954921353569,0.46551606268567625,by_employment,Student,Student
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,7.292928376569148,7.435511149671339,0.14258277310219114,by_employment,Unable To Work,Unable To Work
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,1.319855560926538,1.9627113471728277,0.6428557862462896,by_employment,Employed For Wages,Employed For Wages
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,-0.588831288174154,-0.12381991463717376,0.4650113735369802,by_employment,Homemaker,Homemaker
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,2.7579248511753476,3.3118933126889742,0.5539684615136267,by_employment,Out Of Work Less Than One,Out Of Work Less Than One
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,-2.707445298282472,-2.2513508235166206,0.4560944747658513,by_employment,Out Of Work One Or More,Out Of Work One Or More
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,-3.2900924467437536,-2.811083739758825,0.4790087069849287,by_employment,Retired,Retired
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,0.7548926597016102,1.2664132928052454,0.5115206331036352,by_employment,Self Employed,Self Employed
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,1.7467469254636523,2.2827203918637387,0.5359734664000864,by_employment,Student,Student
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,-1.1954730251347874,-0.7685575979533545,0.4269154271814328,by_employment,Unable To Work,Unable To Work
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,1.3322615094506614,1.9757526497705251,0.6434911403198638,by_employment,Employed For Wages,Employed For Wages
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,-0.5703553249454709,-0.10442925400119984,0.4659260709442711,by_employment,Homemaker,Homemaker
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,2.7761830186696184,3.330853825825243,0.5546708071556248,by_employment,Out Of Work Less Than One,Out Of Work Less Than One
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,-2.693838254623478,-2.2370182481863754,0.4568200064371024,by_employment,Out Of Work One Or More,Out Of Work One Or More
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,-3.2738657997539233,-2.7938609386810827,0.4800048610728407,by_employment,Retired,Retired
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,0.7655995256094608,1.2775812475777797,0.5119817219683189,by_employment,Self Employed,Self Employed
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,1.760183935838421,2.2972155145432183,0.5370315787047972,by_employment,Student,Student
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,-1.175263902218998,-0.7473305180560911,0.4279333841629068,by_employment,Unable To Work,Unable To Work
