outcome,outcome_type,batch,model_method,model_file,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,estimate,conf.low,conf.high,employment_clean
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Homemaker,NA,NA,NA,NA,24,7.671418372644232,7.598004253209861,7.744832492078603,Homemaker
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,24,7.545685128077032,7.457869522398991,7.633500733755073,Out Of Work Less Than One
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Out Of Work One Or More,NA,NA,NA,NA,24,7.96172367859604,7.86241040697547,8.06103695021661,Out Of Work One Or More
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Retired,NA,NA,NA,NA,24,5.962487421163133,5.865435387025272,6.059539455300994,Retired
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Self Employed,NA,NA,NA,NA,24,7.325473571577546,7.268875818638693,7.3820713245163985,Self Employed
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Student,NA,NA,NA,NA,24,7.612452758001206,7.576849571934922,7.64805594406749,Student
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Unable To Work,NA,NA,NA,NA,24,7.990269745451956,7.926124825997148,8.054414664906764,Unable To Work
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Employed For Wages,NA,NA,NA,NA,25,7.2764179244787615,7.258647605341527,7.294188243615996,Employed For Wages
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Homemaker,NA,NA,NA,NA,25,7.648663294328234,7.57834704953445,7.718979539122017,Homemaker
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,25,7.5212229664057775,7.43688096295691,7.605564969854645,Out Of Work Less Than One
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Out Of Work One Or More,NA,NA,NA,NA,25,7.898514076768072,7.804011914903043,7.9930162386331,Out Of Work One Or More
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Retired,NA,NA,NA,NA,25,6.022273389039001,5.929287062487126,6.115259715590876,Retired
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Self Employed,NA,NA,NA,NA,25,7.315386510617285,7.2610024920062015,7.3697705292283695,Self Employed
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Student,NA,NA,NA,NA,25,7.613628207512985,7.578379044889698,7.648877370136272,Student
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Unable To Work,NA,NA,NA,NA,25,7.957758975808533,7.896863288561803,8.018654663055264,Unable To Work
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Employed For Wages,NA,NA,NA,NA,26,7.270166581876072,7.252860251281675,7.28747291247047,Employed For Wages
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Homemaker,NA,NA,NA,NA,26,7.626754659932112,7.559291672276292,7.694217647587933,Homemaker
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,26,7.497811288781652,7.416639811187342,7.578982766375963,Out Of Work Less Than One
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Out Of Work One Or More,NA,NA,NA,NA,26,7.837792666200255,7.747806256014281,7.92777907638623,Out Of Work One Or More
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Retired,NA,NA,NA,NA,26,6.080946527086521,5.991925072619288,6.1699679815537545,Retired
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Self Employed,NA,NA,NA,NA,26,7.306031839556538,7.253743266309152,7.358320412803924,Self Employed
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Student,NA,NA,NA,NA,26,7.6142797329079714,7.579281403264619,7.649278062551324,Student
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Unable To Work,NA,NA,NA,NA,26,7.925764004274046,7.867933804256911,7.983594204291181,Unable To Work
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Employed For Wages,NA,NA,NA,NA,27,7.2646683850893075,7.247781302095293,7.281555468083322,Employed For Wages
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Homemaker,NA,NA,NA,NA,27,7.605692469455869,7.540838333799333,7.670546605112405,Homemaker
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,27,7.475450095204657,7.397148022639214,7.5537521677701,Out Of Work Less Than One
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Out Of Work One Or More,NA,NA,NA,NA,27,7.779559446892592,7.693788858740448,7.865330035044736,Out Of Work One Or More
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Retired,NA,NA,NA,NA,27,6.138506835305694,6.053348914972686,6.223664755638703,Retired
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Self Employed,NA,NA,NA,NA,27,7.297409558395306,7.247097737591842,7.34772137919877,Self Employed
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Student,NA,NA,NA,NA,27,7.614407334186167,7.579570703917499,7.649243964454835,Student
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Unable To Work,NA,NA,NA,NA,27,7.894284830848496,7.8393346204283505,7.9492350412686434,Unable To Work
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Employed For Wages,NA,NA,NA,NA,28,7.259923334118465,7.243412321330231,7.276434346906699,Employed For Wages
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Homemaker,NA,NA,NA,NA,28,7.585476722899502,7.5229886993217026,7.647964746477301,Homemaker
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,28,7.454139385674788,7.378409659098895,7.52986911225068,Out Of Work Less Than One
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Out Of Work One Or More,NA,NA,NA,NA,28,7.72381441884508,7.64195577758758,7.80567306010258,Out Of Work One Or More
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Retired,NA,NA,NA,NA,28,6.194954313696519,6.113558058950095,6.276350568442942,Retired
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Self Employed,NA,NA,NA,NA,28,7.289519667133586,7.241064685285687,7.337974648981485,Self Employed
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Student,NA,NA,NA,NA,28,7.614011011347568,7.579259987864075,7.64876203483106,Student
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Unable To Work,NA,NA,NA,NA,28,7.8633214555318816,7.811064349731524,7.915578561332239,Unable To Work
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Employed For Wages,NA,NA,NA,NA,29,7.255931428963547,7.23975513498081,7.272107722946283,Employed For Wages
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Homemaker,NA,NA,NA,NA,29,7.5661074202630125,7.505746519942821,7.626468320583204,Homemaker
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,29,7.433879160192049,7.360431113507963,7.507327206876135,Out Of Work Less Than One
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Out Of Work One Or More,NA,NA,NA,NA,29,7.670557582057723,7.592304010297315,7.74881115381813,Out Of Work One Or More
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Retired,NA,NA,NA,NA,29,6.250288962258994,6.172551895747254,6.328026028770734,Retired
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Self Employed,NA,NA,NA,NA,29,7.282362165771381,7.235644006195772,7.329080325346991,Self Employed
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Student,NA,NA,NA,NA,29,7.613090764392179,7.578360921188008,7.647820607596349,Student
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Unable To Work,NA,NA,NA,NA,29,7.832873878324205,7.783122102221184,7.882625654427225,Unable To Work
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Employed For Wages,NA,NA,NA,NA,30,7.252692669624552,7.236811806942586,7.268573532306518,Employed For Wages
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Homemaker,NA,NA,NA,NA,30,7.547584561546397,7.489116500699319,7.606052622393476,Homemaker
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,30,7.414669418756438,7.343221233988141,7.486117603524736,Out Of Work Less Than One
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Out Of Work One Or More,NA,NA,NA,NA,30,7.619788936530516,7.544831902437194,7.694745970623838,Out Of Work One Or More
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Retired,NA,NA,NA,NA,30,6.3045107809931205,6.230329762913338,6.378691799072903,Retired
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Self Employed,NA,NA,NA,NA,30,7.27593705430869,7.230835715333645,7.321038393283735,Self Employed
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Student,NA,NA,NA,NA,30,7.611646593319997,7.576883613551046,7.646409573088948,Student
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Unable To Work,NA,NA,NA,NA,30,7.802942099225463,7.75550759330676,7.850376605144167,Unable To Work
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Employed For Wages,NA,NA,NA,NA,31,7.25020705610148,7.234584620787848,7.265829491415113,Employed For Wages
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Homemaker,NA,NA,NA,NA,31,7.529908146749661,7.473106264993009,7.586710028506313,Homemaker
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,31,7.396510161367957,7.326791362837033,7.466228959898881,Out Of Work Less Than One
