outcome,outcome_type,batch,model_method,model_file,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,estimate,conf.low,conf.high
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,23,7.293852703572497,7.274926391115416,7.312779016029579
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,24,7.286088277276942,7.26771660807704,7.304459946476845
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,25,7.279077106738194,7.261213100501454,7.296941112974935
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,26,7.272819191956253,7.255416921032755,7.29022146287975
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,27,7.267314532931116,7.250329385778171,7.284299680084061
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,28,7.262563129662786,7.245952077123576,7.279174182201997
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,29,7.258564982151262,7.242286834716907,7.2748431295856175
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,30,7.255320090396545,7.239335735303139,7.2713044454899505
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,31,7.252828454398633,7.237101067550915,7.268555841246352
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,32,7.251090074157528,7.235585294102312,7.266594854212744
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,33,7.250104949673228,7.234791010766109,7.2654188885803475
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,34,7.249873080945735,7.234720898404037,7.265025263487432
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,35,7.250394467975047,7.235377675499073,7.265411260451021
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,36,7.251669110761166,7.236764048112892,7.26657417340944
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,37,7.253697009304091,7.238882664684127,7.268511353924055
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,38,7.2564781636038225,7.2417360735498,7.271220253657845
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,39,7.26001257366036,7.245326684962488,7.274698462358232
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,40,7.264300239473703,7.249656740064656,7.278943738882749
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,41,7.269341161043852,7.254728283867758,7.283954038219946
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,42,7.275135338370807,7.260543144536185,7.289727532205428
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,43,7.281682771454569,7.267102916332538,7.296262626576599
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,44,7.288983460295136,7.274408951359546,7.303557969230726
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,45,7.297037404892509,7.282462345754789,7.31161246403023
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,46,7.30584460524669,7.291263940028185,7.320425270465194
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,47,7.315405061357675,7.300814312751161,7.329995809964188
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,48,7.325718773225467,7.31111377720072,7.340323769250213
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,49,7.336785740850066,7.3221623866278724,7.35140909507226
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,50,7.348605964231469,7.333959930689823,7.363251997773115
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,51,7.36117944336968,7.346505940628514,7.375852946110845
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,52,7.374506178264697,7.359799690471997,7.3892126660573965
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,53,7.388586168916518,7.373840204729743,7.403332133103293
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,54,7.403419415325147,7.388626261122497,7.418212569527797
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,55,7.419005917490581,7.404156405203216,7.433855429777945
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,56,7.435345675412821,7.4204289568848,7.450262393940843
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,57,7.452438689091869,7.43744203067944,7.467435347504297
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,58,7.470284958527722,7.455193552201686,7.485376364853757
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,59,7.488884483720381,7.473681282783397,7.504087684657365
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,60,7.508237264669845,7.492902848479181,7.52357168086051
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,61,7.5283433013761165,7.512855772343382,7.543830830408851
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,62,7.549202593839194,7.533537511844848,7.56486767583354
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,63,7.570815142059077,7.554945499172629,7.586684784945525
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,64,7.593180946035766,7.577077183044578,7.609284709026955
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,65,7.616300005769261,7.599930073475163,7.632669938063359
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,66,7.640172321259564,7.62350178118285,7.656842861336277
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,67,7.664797892506671,7.64779005745345,7.681805727559893
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,68,7.690176719510585,7.672792828779821,7.707560610241348
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,69,7.716308802271305,7.698508222781296,7.734109381761314
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,70,7.743194140788831,7.724934587842389,7.761453693735273
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,71,7.770832735063163,7.75207050520843,7.789594964917895
