outcome,outcome_type,batch,model_method,model_file,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,estimate,conf.low,conf.high,day_type,employment_clean
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,employment_x_weekend,Employed For Wages,Weekend,NA,NA,NA,NA,9.235646689774212,9.181556008913436,9.289737370634988,Weekend,Employed For Wages
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,employment_x_weekend,Homemaker,Weekday,NA,NA,NA,NA,7.847886308456212,7.595033370773258,8.100739246139165,Weekday,Homemaker
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,employment_x_weekend,Homemaker,Weekend,NA,NA,NA,NA,8.123369008706815,7.870244408885804,8.376493608527827,Weekend,Homemaker
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,employment_x_weekend,Out Of Work Less Than One,Weekday,NA,NA,NA,NA,9.95452425414139,9.650424974160286,10.258623534122494,Weekday,Out Of Work Less Than One
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,employment_x_weekend,Out Of Work Less Than One,Weekend,NA,NA,NA,NA,10.407777813718509,10.103377087915682,10.712178539521336,Weekend,Out Of Work Less Than One
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,employment_x_weekend,Out Of Work One Or More,Weekday,NA,NA,NA,NA,7.949406364647916,7.59437489971845,8.304437829577383,Weekday,Out Of Work One Or More
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,employment_x_weekend,Out Of Work One Or More,Weekend,NA,NA,NA,NA,8.164730929006593,7.80946037086313,8.520001487150056,Weekend,Out Of Work One Or More
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,employment_x_weekend,Retired,Weekday,NA,NA,NA,NA,-0.05536199878213477,-0.3139319602089798,0.20320796264471025,Weekday,Retired
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,employment_x_weekend,Retired,Weekend,NA,NA,NA,NA,0.20333850972976064,-0.05542359577120726,0.46210061523072854,Weekend,Retired
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,employment_x_weekend,Self Employed,Weekday,NA,NA,NA,NA,8.123087459962267,7.954223271333237,8.291951648591299,Weekday,Self Employed
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,employment_x_weekend,Self Employed,Weekend,NA,NA,NA,NA,8.465870929376281,8.296642056958282,8.635099801794281,Weekend,Self Employed
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,employment_x_weekend,Student,Weekday,NA,NA,NA,NA,9.056833880581577,8.93993278608679,9.173734975076364,Weekday,Student
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,employment_x_weekend,Student,Weekend,NA,NA,NA,NA,9.520547065483772,9.403238141313016,9.637855989654527,Weekend,Student
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,employment_x_weekend,Unable To Work,Weekday,NA,NA,NA,NA,7.277004447394134,7.04705381649756,7.506955078290708,Weekday,Unable To Work
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,employment_x_weekend,Unable To Work,Weekend,NA,NA,NA,NA,7.417958354906894,7.18773362466309,7.648183085150698,Weekend,Unable To Work
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Employed For Wages,Weekday,NA,NA,NA,NA,8.620458044391333,8.56734949540683,8.673566593375835,Weekday,Employed For Wages
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Employed For Wages,Weekend,NA,NA,NA,NA,9.254310956480666,9.200166472272334,9.308455440688997,Weekend,Employed For Wages
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Homemaker,Weekday,NA,NA,NA,NA,7.8736773123998685,7.620850017397832,8.126504607401905,Weekday,Homemaker
